date_p,Peff,val_calc_ngf
1981-02-01,1.1341335560714287,63.6
1981-03-01,1.3814552813225807,64.27000000000001
1981-04-01,1.0764535016666665,64.858
1981-05-01,1.9646374757806453,65.4175
1981-06-01,1.0615605628333333,65.846
1981-07-01,0.24265565145161289,65.882
1981-08-01,0.0279332,65.69
1981-09-01,0.6472148403333333,65.49
1981-10-01,3.239975106677419,65.685
1981-11-01,1.2390236486666666,65.61500000000001
1981-12-01,4.07390328483871,66.56
1982-01-01,2.104739201548387,68.29
1982-02-01,0.4383884005785714,68.9125
1982-03-01,1.4864720118612902,69.535
1982-04-01,0.40585622299999996,69.29
1982-05-01,0.7914881993548387,70.15
1982-06-01,0.6746594103666667,70.2
1982-07-01,0.09622875806451613,69.45
1982-08-01,0.1624675190322581,68.7
1982-09-01,0.15002685957333334,68.42
1982-10-01,1.6194556080645162,68.06
1982-11-01,1.6319500556666666,67.185
1982-12-01,4.002747448709678,66.31
1983-01-01,1.6750227658064516,66.69
1983-02-01,2.1844436857142857,69.06
1983-03-01,1.386607526451613,69.24
1983-04-01,1.5163769022,70.45
1983-05-01,2.3463965761290324,70.92
1983-06-01,0.10791142833333334,71.35
1983-07-01,0.2850705868709677,71.2
1983-08-01,0.275580874516129,70.845
1983-09-01,0.406710171,70.49
1983-10-01,0.42413907693548386,70.13
1983-11-01,0.57807106,69.49
1983-12-01,0.8201818296774194,68.35499999999999
1984-01-01,3.9287366558064516,67.22
1984-02-01,1.4005510327586206,69.15
1984-03-01,0.893739544516129,69.08
1984-04-01,0.14214362233333333,68.81
1984-05-01,1.0016233892258064,68.51
1984-06-01,0.3334496833333333,67.99
1984-07-01,0.1924063964387097,67.35
1984-08-01,0.15229572516129034,66.65
1984-09-01,0.9296153836666666,65.81
1984-10-01,0.9889683516129032,65.025
1984-11-01,2.238708573,64.24
1984-12-01,1.2904065822258064,63.55
1985-01-01,1.3328721660322582,62.86
1985-02-01,0.8876182989285716,62.51
1985-03-01,1.341476351483871,62.17
1985-04-01,1.37609499,62.38
1985-05-01,1.6855922722580645,62.505
1985-06-01,0.5831100373333332,62.63
1985-07-01,0.5328253483870967,62.75
1985-08-01,0.5866941229032258,62.47
1985-09-01,0.27635295266666665,62.15
1985-10-01,0.11424156060548388,61.48
1985-11-01,0.8603242450166667,60.8
1985-12-01,0.502727514132258,60.52
1986-01-01,2.6035468117096774,59.52
1986-02-01,0.03903090503571428,58.55
1986-03-01,2.277971882580645,58.09
1986-04-01,1.3542257702,58.52
1986-05-01,0.5547556464193548,58.27
1986-06-01,0.31058644133333335,58.23
1986-07-01,0.138825784,58.26
1986-08-01,0.37484269241935486,57.91
1986-09-01,0.5800318162366668,57.72
1986-10-01,0.9950764473193549,57.22
1986-11-01,1.2822596198666667,56.76
1986-12-01,3.3998039129354836,57.745
1987-01-01,1.232396580645161,58.73
1987-02-01,1.378039209285714,58.84
